ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20140815,source1,mfr1,mpn1,partnumber1,2573,2.59
20140816,source1,mfr1,mpn1,partnumber1,2573,2.59
20140817,source1,mfr1,mpn1,partnumber1,2573,2.59
20140818,source1,mfr1,mpn1,partnumber1,2573,2.59
20140819,source1,mfr1,mpn1,partnumber1,2573,2.59
20140820,source1,mfr1,mpn1,partnumber1,2573,2.59
20140821,source1,mfr1,mpn1,partnumber1,2573,2.59
20140822,source1,mfr1,mpn1,partnumber1,2573,2.59
20140823,source1,mfr1,mpn1,partnumber1,2573,2.59
20140824,source1,mfr1,mpn1,partnumber1,2573,2.59
20140825,source1,mfr1,mpn1,partnumber1,2573,2.59
20140826,source1,mfr1,mpn1,partnumber1,2573,2.59
20140827,source1,mfr1,mpn1,partnumber1,2573,2.59
20140828,source1,mfr1,mpn1,partnumber1,2573,2.59
20140829,source1,mfr1,mpn1,partnumber1,2573,2.59
20140830,source1,mfr1,mpn1,partnumber1,2573,2.59
20140831,source1,mfr1,mpn1,partnumber1,2573,2.59
20140901,source1,mfr1,mpn1,partnumber1,2573,2.59
20140902,source1,mfr1,mpn1,partnumber1,2573,2.59
20140903,source1,mfr1,mpn1,partnumber1,2573,2.59
20140904,source1,mfr1,mpn1,partnumber1,2573,2.59
20140905,source1,mfr1,mpn1,partnumber1,2573,2.59
20140906,source1,mfr1,mpn1,partnumber1,2573,2.59
20140907,source1,mfr1,mpn1,partnumber1,2573,2.59
20140908,source1,mfr1,mpn1,partnumber1,2573,2.59
20140909,source1,mfr1,mpn1,partnumber1,2573,2.59
20140910,source1,mfr1,mpn1,partnumber1,2573,2.59
20140911,source1,mfr1,mpn1,partnumber1,2573,2.59
20140912,source1,mfr1,mpn1,partnumber1,2573,2.59
20140913,source1,mfr1,mpn1,partnumber1,2573,2.59
20140915,source1,mfr1,mpn1,partnumber1,2573,2.59
20140916,source1,mfr1,mpn1,partnumber1,2573,2.59
20140917,source1,mfr1,mpn1,partnumber1,2573,2.59
20140918,source1,mfr1,mpn1,partnumber1,2573,2.59
20140919,source1,mfr1,mpn1,partnumber1,2473,2.59
20140920,source1,mfr1,mpn1,partnumber1,2473,2.59
20140921,source1,mfr1,mpn1,partnumber1,2473,2.59
20140922,source1,mfr1,mpn1,partnumber1,2473,2.59
20140923,source1,mfr1,mpn1,partnumber1,2473,2.59
20140924,source1,mfr1,mpn1,partnumber1,2448,2.59
20140925,source1,mfr1,mpn1,partnumber1,2448,2.59
20140926,source1,mfr1,mpn1,partnumber1,2448,2.59
20140927,source1,mfr1,mpn1,partnumber1,2448,2.59
20140928,source1,mfr1,mpn1,partnumber1,2448,2.59
20140929,source1,mfr1,mpn1,partnumber1,2448,2.59
20140930,source1,mfr1,mpn1,partnumber1,2448,2.59
20141001,source1,mfr1,mpn1,partnumber1,2448,2.59
20141002,source1,mfr1,mpn1,partnumber1,2448,2.59
20141003,source1,mfr1,mpn1,partnumber1,2448,2.59
20141004,source1,mfr1,mpn1,partnumber1,2448,2.59
20141005,source1,mfr1,mpn1,partnumber1,2448,2.59
20141006,source1,mfr1,mpn1,partnumber1,2448,2.59
20141007,source1,mfr1,mpn1,partnumber1,2448,2.59
20141008,source1,mfr1,mpn1,partnumber1,2948,2.59
20141009,source1,mfr1,mpn1,partnumber1,2448,2.59
20141010,source1,mfr1,mpn1,partnumber1,250246970,2.59
20141011,source1,mfr1,mpn1,partnumber1,2659,2.59
20141012,source1,mfr1,mpn1,partnumber1,2648,2.59
20141013,source1,mfr1,mpn1,partnumber1,2648,2.59
20141014,source1,mfr1,mpn1,partnumber1,2648,2.59
20141015,source1,mfr1,mpn1,partnumber1,2648,2.59
20141016,source1,mfr1,mpn1,partnumber1,2648,2.59
20141017,source1,mfr1,mpn1,partnumber1,2648,2.59
20141018,source1,mfr1,mpn1,partnumber1,2648,2.59
20141019,source1,mfr1,mpn1,partnumber1,2648,2.59
20141020,source1,mfr1,mpn1,partnumber1,2648,2.59
20141021,source1,mfr1,mpn1,partnumber1,2648,2.59
20141022,source1,mfr1,mpn1,partnumber1,2648,2.59
20141023,source1,mfr1,mpn1,partnumber1,2648,2.59
20141024,source1,mfr1,mpn1,partnumber1,2642,2.59
20141025,source1,mfr1,mpn1,partnumber1,2642,2.59
20141026,source1,mfr1,mpn1,partnumber1,2642,2.59
20141027,source1,mfr1,mpn1,partnumber1,2642,2.59
20141028,source1,mfr1,mpn1,partnumber1,2642,2.59
20141029,source1,mfr1,mpn1,partnumber1,2642,2.59
20141030,source1,mfr1,mpn1,partnumber1,2642,2.59
20141031,source1,mfr1,mpn1,partnumber1,2642,2.59
20141101,source1,mfr1,mpn1,partnumber1,2642,2.59
20141102,source1,mfr1,mpn1,partnumber1,2642,2.59
20141103,source1,mfr1,mpn1,partnumber1,2642,2.59
20141105,source1,mfr1,mpn1,partnumber1,2642,2.59
20141106,source1,mfr1,mpn1,partnumber1,2642,2.59
20141107,source1,mfr1,mpn1,partnumber1,2642,2.59
20141108,source1,mfr1,mpn1,partnumber1,2642,2.59
20141109,source1,mfr1,mpn1,partnumber1,2642,2.59
20141110,source1,mfr1,mpn1,partnumber1,2642,2.59
20141111,source1,mfr1,mpn1,partnumber1,2642,2.59
20141112,source1,mfr1,mpn1,partnumber1,2642,2.59
20141113,source1,mfr1,mpn1,partnumber1,2642,2.59
20141114,source1,mfr1,mpn1,partnumber1,2642,2.59
