ingestdate,qtyavail
20140508,6480000
20140508,6500575
20140508,6500575
20140314,4330000
20140314,4343331
20140314,4343331
20140315,4300000
20140315,4312181
20140315,4312181
20140325,3610000
20140325,3619932
20140325,3619932
20140402,3210000
20140402,3219716
20140402,3219716
20141114,12050000
20141114,12086579
20141114,12086579
20141117,12030000
20141117,12068197
20141117,12068197
20141118,13480000
20141118,13513759
20141118,13513759
20130819,15718000
20130819,15735960
20130819,15735960
20130920,8238000
20130920,8247566
20130920,8247566
20131002,7878000
20131002,7898130
20131002,7898130
20131215,7028000
20131215,7044058
20131215,7044058
20131218,6848000
20131218,6881091
20131218,6881091
20131219,6838000
20131219,6870612
20131219,6870612
20131220,6798000
20131220,6826810
20131220,6826810
20140305,4420000
20140305,4461640
20140305,4461640
20140316,4300000
20140316,4311081
20140316,4311081
20140318,2990000
20140318,3000038
20140318,3000038
20140327,3510000
20140327,3523221
20140327,3523221
20140928,3220000
20140928,3288708
20140928,3288708
20141001,3180000
20141001,3239698
20141001,3239698
20141003,3170000
20141003,3227668
20141003,3227668
20130913,8258000
20130913,8270035
20130913,8270035
20130914,8248000
20130914,8265329
20130914,8265329
20130923,8178000
20130923,8186161
20130923,8186161
20140715,9240000
20140715,9320498
20140715,9320498
20140717,9100000
20140717,9172689
20140717,9173189
20140719,9100000
20140719,9168318
20140719,9168318
20141110,12620000
20141110,12652312
20141110,12652312
20141116,12030000
20141116,12068297
20141116,12068297
20140812,5520000
20140812,5469397
20140812,5469397
20140815,5070000
20140815,5172696
20140815,5172696
20140816,4190000
20140816,4291136
20140816,4291136
20140704,10490000
20140704,10595064
20140704,10595064
20140716,9100000
20140716,9175849
20140716,9175849
20140718,9100000
20140718,9171198
20140718,9171198
20141010,1740000
20141010,1787439
20141010,1787439
20141011,11260000
20141011,11307139
20141011,11307139
20141014,13960000
20141014,14597139
20141014,14014027
20141024,13280000
20141024,13308821
20141024,13308821
20140830,1380000
20140830,1475089
20140830,1475089
20140831,1380000
20140831,1475089
20140831,1475089
20140906,1990000
20140906,2079149
20140906,2079149
20140628,11330000
20140628,11409238
20140628,11409238
20140629,11330000
20140629,11409338
20140629,11409238
20140703,10510000
20140703,10622346
20140703,10622346
20141208,12700000
20141208,12722587
20141208,12722587
20141209,12200000
